item_id,category_of_item,class,perishable
item_96995,grocery_items,class_1093,0
item_99197,grocery_items,class_1067,0
item_103501,cleaning_utilities,class_3008,0
item_103520,grocery_items,class_1028,0
item_103665,baked_items / bread_based,class_2712,1
item_105574,grocery_items,class_1045,0
item_105575,grocery_items,class_1045,0
item_105576,grocery_items,class_1045,0
item_105577,grocery_items,class_1045,0
item_105693,grocery_items,class_1034,0
item_105737,grocery_items,class_1044,0
item_105857,grocery_items,class_1092,0
item_106716,grocery_items,class_1032,0
item_108079,grocery_items,class_1030,0
item_108634,grocery_items,class_1075,0
item_108696,deli_items,class_2636,1
item_108698,deli_items,class_2644,1
item_108701,deli_items,class_2644,1
item_108786,cleaning_utilities,class_3044,0
item_108797,grocery_items,class_1004,0
item_108831,vegetables,class_2416,1
item_108833,eggs,class_2502,1
item_108862,grocery_items,class_1062,0
item_108952,cleaning_utilities,class_3024,0
item_111223,grocery_items,class_1034,0
item_111397,grocery_items,class_1072,0
item_112830,grocery_items,class_1044,0
item_114778,grocery_items,class_1016,0
item_114790,grocery_items,class_1004,0
item_114799,personal_care,class_4126,0
item_114800,personal_care,class_4126,0
item_115267,cleaning_utilities,class_3034,0
item_115611,grocery_items,class_1014,0
item_115693,grocery_items,class_1040,0
item_115720,grocery_items,class_1084,0
item_115847,other_utilities,class_7034,0
item_115850,grocery_items,class_1004,0
item_115891,grocery_items,class_1016,0
item_115892,grocery_items,class_1016,0
item_115893,grocery_items,class_1016,0
item_115894,grocery_items,class_1016,0
item_116017,grocery_items,class_1072,0
item_116018,grocery_items,class_1072,0
item_116279,grocery_items,class_1056,0
item_116311,cleaning_utilities,class_3090,0
item_119023,cleaning_utilities,class_3026,0
item_119024,cleaning_utilities,class_3026,0
item_119026,cleaning_utilities,class_3026,0
item_119141,grocery_items,class_1042,0
item_119187,cleaning_utilities,class_3044,0
item_119191,cleaning_utilities,class_3044,0
item_119193,cleaning_utilities,class_3044,0
item_119624,beverages,class_1122,0
item_121964,other_utilities,class_6810,0
item_122095,dairy_items,class_2124,1
item_122418,grocery_items,class_1004,0
item_122419,grocery_items,class_1004,0
item_122425,cleaning_utilities,class_3020,0
item_123347,dairy_items,class_2114,1
item_123601,grocery_items,class_1072,0
item_123602,grocery_items,class_1072,0
item_123927,grocery_items,class_1026,0
item_125430,grocery_items,class_1016,0
item_127534,grocery_items,class_1032,0
item_127547,eggs,class_2502,1
item_129296,grocery_items,class_1032,0
item_129297,grocery_items,class_1032,0
item_129635,dairy_items,class_2112,1
item_129758,grocery_items,class_1032,0
item_129759,grocery_items,class_1032,0
item_153078,cleaning_utilities,class_3008,0
item_153239,baked_items / bread_based,class_2712,1
item_153267,grocery_items,class_1096,0
item_153395,baked_items / bread_based,class_2704,1
item_153398,baked_items / bread_based,class_2708,1
item_155499,grocery_items,class_1013,0
item_155500,grocery_items,class_1014,0
item_155600,grocery_items,class_1034,0
item_155601,grocery_items,class_1034,0
item_155607,grocery_items,class_1034,0
item_155610,grocery_items,class_1034,0
item_155621,grocery_items,class_1062,0
item_155625,grocery_items,class_1092,0
item_157956,grocery_items,class_1030,0
item_158680,eggs,class_2502,1
item_158788,cleaning_utilities,class_3044,0
item_158789,cleaning_utilities,class_3044,0
item_158842,dairy_items,class_2124,1
item_158875,grocery_items,class_1026,0
item_158956,cleaning_utilities,class_3038,0
item_159156,vegetables,class_2416,1
item_159242,cleaning_utilities,class_3026,0
item_161288,grocery_items,class_1072,0
item_162066,grocery_items,class_1048,0
item_164036,grocery_items,class_1048,0
item_164037,grocery_items,class_1048,0
item_164088,dairy_items,class_2116,1
item_164647,cleaning_utilities,class_3032,0
item_165550,beverages,class_1124,0
item_165551,beverages,class_1124,0
item_165553,beverages,class_1124,0
item_165594,grocery_items,class_1014,0
item_165693,grocery_items,class_1066,0
item_165704,grocery_items,class_1016,0
item_165705,grocery_items,class_1016,0
item_165718,baked_items / bread_based,class_2718,1
item_165727,grocery_items,class_1032,0
item_165988,grocery_items,class_1072,0
item_167437,grocery_items_2,class_1236,0
item_168927,cleaning_utilities,class_3026,0
item_168930,cleaning_utilities,class_3026,0
item_168931,cleaning_utilities,class_3026,0
item_168989,grocery_items,class_1028,0
item_169028,grocery_items,class_1040,0
item_169101,cleaning_utilities,class_3044,0
item_169104,cleaning_utilities,class_3044,0
item_170791,grocery_items,class_1080,0
item_171890,cleaning_utilities,class_3004,0
item_172184,grocery_items,class_1058,0
item_172343,grocery_items,class_1004,0
item_172995,other_utilities,class_6824,0
item_173111,grocery_items,class_1058,0
item_173113,dairy_items,class_2114,1
item_174081,beverages,class_1136,0
item_176411,cleaning_utilities,class_3016,0
item_177050,other_utilities,class_7034,0
item_177395,grocery_items,class_1032,0
item_179274,grocery_items,class_1032,0
item_179564,grocery_items,class_1032,0
item_179579,grocery_items,class_1032,0
item_179600,grocery_items,class_1006,0
item_179615,dairy_items,class_2112,1
item_205209,meat_based_items,class_2302,1
item_205381,grocery_items,class_1034,0
item_205387,grocery_items,class_1034,0
item_205486,dairy_items,class_2124,1
item_205557,grocery_items,class_1062,0
item_207857,grocery_items,class_1010,0
item_208384,eggs,class_2502,1
item_208386,eggs,class_2502,1
item_208426,deli_items,class_2632,1
item_208498,cleaning_utilities,class_3044,0
item_208514,grocery_items,class_1010,0
item_208530,frozen_food,class_2226,0
item_208539,vegetables,class_2412,1
item_208659,grocery_items,class_1078,0
item_208699,grocery_items,class_1034,0
item_209085,cleaning_utilities,class_3026,0
item_210520,grocery_items_2,class_1236,0
item_210798,grocery_items,class_1074,0
item_211203,grocery_items,class_1072,0
item_211205,grocery_items,class_1072,0
item_211206,grocery_items,class_1072,0
item_211999,grocery_items,class_1036,0
item_212550,grocery_items,class_1036,0
item_212552,grocery_items,class_1044,0
item_213066,grocery_items,class_1074,0
item_213652,grocery_items,class_1048,0
item_213653,grocery_items,class_1048,0
item_213788,grocery_items,class_1096,0
item_214381,cleaning_utilities,class_3032,0
item_214859,cleaning_utilities,class_3032,0
item_214860,cleaning_utilities,class_3032,0
item_214862,cleaning_utilities,class_3034,0
item_215303,grocery_items,class_1026,0
item_215304,grocery_items,class_1026,0
item_215327,grocery_items,class_1040,0
item_215331,grocery_items,class_1040,0
item_215332,grocery_items,class_1040,0
item_215352,grocery_items,class_1016,0
item_215356,grocery_items,class_1016,0
item_215370,baked_items / bread_based,class_2718,1
item_215468,other_utilities,class_7034,0
item_215896,grocery_items,class_1044,0
item_217827,grocery_items,class_1045,0
item_218726,cleaning_utilities,class_3044,0
item_218728,cleaning_utilities,class_3044,0
item_219147,beverages,class_1122,0
item_219150,beverages,class_1122,0
item_219152,beverages,class_1122,0
item_220432,grocery_items,class_1080,0
item_220435,grocery_items,class_1080,0
item_220613,deli_items,class_2632,1
item_221506,cleaning_utilities,class_3046,0
item_222879,grocery_items,class_1058,0
item_222975,grocery_items,class_1072,0
item_223068,grocery_items,class_1030,0
item_223136,grocery_items,class_1072,0
item_223434,grocery_items,class_1032,0
item_223463,grocery_items,class_1026,0
item_224081,cleaning_utilities,class_3022,0
item_226126,cleaning_utilities,class_3018,0
item_226857,grocery_items,class_1035,0
item_227111,eggs,class_2502,1
item_227728,dairy_items,class_2104,1
item_229368,grocery_items,class_1086,0
item_246052,grocery_items,class_1039,0
item_250782,home_utilities,class_6155,0
item_252698,processed_food,class_2806,1
item_252970,cleaning_utilities,class_3008,0
item_252972,cleaning_utilities,class_3008,0
item_253103,baked_items / bread_based,class_2712,1
item_253145,grocery_items,class_1096,0
item_255161,grocery_items,class_1034,0
item_255198,grocery_items,class_1044,0
item_255199,grocery_items,class_1044,0
item_255202,grocery_items,class_1045,0
item_257847,beverages,class_1120,0
item_257848,beverages,class_1120,0
item_258268,eggs,class_2502,1
item_258376,cleaning_utilities,class_3044,0
item_258395,grocery_items,class_1002,0
item_258396,grocery_items,class_1010,0
item_258411,frozen_food,class_2218,0
item_258537,cleaning_utilities,class_3038,0
item_260628,baked_items / bread_based,class_2708,1
item_260669,grocery_items,class_1034,0
item_260893,grocery_items,class_1072,0
item_261052,grocery_items,class_1072,0
item_261053,grocery_items,class_1072,0
item_261700,grocery_items,class_1048,0
item_262358,grocery_items,class_1044,0
item_262991,grocery_items,class_1034,0
item_263583,grocery_items,class_1074,0
item_264299,cleaning_utilities,class_3032,0
item_264300,cleaning_utilities,class_3032,0
item_264305,personal_care,class_4126,0
item_264452,cleaning_utilities,class_3024,0
item_264576,frozen_food,class_2220,0
item_264751,cleaning_utilities,class_3032,0
item_264752,cleaning_utilities,class_3034,0
item_264753,cleaning_utilities,class_3034,0
item_265086,beverages,class_1124,0
item_265237,grocery_items,class_1060,0
item_265254,grocery_items,class_1016,0
item_265257,grocery_items,class_1016,0
item_265258,grocery_items,class_1016,0
item_265266,prepared_food,class_2986,1
item_265279,baked_items / bread_based,class_2718,1
item_265382,other_utilities,class_7034,0
item_265559,grocery_items,class_1072,0
item_265672,grocery_items,class_1056,0
item_265700,cleaning_utilities,class_3090,0
item_268440,cleaning_utilities,class_3026,0
item_268443,cleaning_utilities,class_3026,0
item_268446,cleaning_utilities,class_3026,0
item_268623,cleaning_utilities,class_3044,0
item_268662,grocery_items,class_1028,0
item_268664,grocery_items,class_1028,0
item_268676,grocery_items,class_1062,0
item_268834,grocery_items,class_1056,0
item_269029,beverages,class_1122,0
item_269036,beverages,class_1122,0
item_269084,baked_items / bread_based,class_2720,1
item_269286,cleaning_utilities,class_3014,0
item_269287,cleaning_utilities,class_3014,0
item_270522,other_utilities,class_6806,0
item_271478,dairy_items,class_2124,1
item_271479,dairy_items,class_2124,1
item_273528,personal_care,class_4114,0
item_273859,grocery_items,class_1044,0
item_275823,cleaning_utilities,class_3018,0
item_275826,cleaning_utilities,class_3018,0
item_276560,grocery_items,class_1087,0
item_278806,grocery_items,class_1032,0
item_279125,grocery_items,class_1032,0
item_279137,grocery_items,class_1086,0
item_279157,dairy_items,class_2112,1
item_279494,grocery_items,class_1062,0
item_302824,cleaning_utilities,class_3008,0
item_302952,baked_items / bread_based,class_2712,1
item_302995,grocery_items,class_1084,0
item_302997,grocery_items,class_1096,0
item_302998,grocery_items,class_1096,0
item_305074,grocery_items,class_1044,0
item_305079,grocery_items,class_1044,0
item_305080,grocery_items,class_1045,0
item_305081,grocery_items,class_1045,0
item_305227,grocery_items,class_1013,0
item_305229,grocery_items,class_1014,0
item_305234,grocery_items,class_1044,0
item_305237,grocery_items,class_1044,0
item_305341,grocery_items,class_1092,0
item_305344,grocery_items,class_1092,0
item_305345,grocery_items,class_1092,0
item_307740,cleaning_utilities,class_3015,0
item_308085,beverages,class_1124,0
item_308726,grocery_items,class_1084,0
item_308766,cleaning_utilities,class_3026,0
item_308916,cleaning_utilities,class_3004,0
item_308924,cleaning_utilities,class_3004,0
item_310644,baked_items / bread_based,class_2702,1
item_310647,baked_items / bread_based,class_2708,1
item_310671,grocery_items,class_1034,0
item_310790,grocery_items,class_1034,0
item_311954,cleaning_utilities,class_3006,0
item_311994,baked_items / bread_based,class_2752,1
item_312113,baked_items / bread_based,class_2720,1
item_312317,other_utilities,class_6810,0
item_312324,grocery_items,class_1044,0
item_312596,grocery_items,class_1035,0
item_313094,grocery_items,class_1042,0
item_313641,grocery_items,class_1074,0
item_314384,grocery_items,class_1004,0
item_314393,cleaning_utilities,class_3032,0
item_314570,cleaning_utilities,class_3024,0
item_314879,cleaning_utilities,class_3034,0
item_314880,cleaning_utilities,class_3034,0
item_314881,cleaning_utilities,class_3034,0
item_315176,beverages,class_1124,0
item_315178,beverages,class_1124,0
item_315179,beverages,class_1124,0
item_315180,beverages,class_1124,0
item_315220,grocery_items,class_1014,0
item_315221,grocery_items,class_1014,0
item_315277,grocery_items,class_1040,0
item_315279,grocery_items,class_1040,0
item_315320,grocery_items,class_1066,0
item_315322,grocery_items,class_1084,0
item_315460,grocery_items,class_1016,0
item_315463,grocery_items_2,class_1236,0
item_315473,baked_items / bread_based,class_2718,1
item_315474,baked_items / bread_based,class_2718,1
item_315712,grocery_items,class_1072,0
item_315713,grocery_items,class_1072,0
item_315753,grocery_items,class_1030,0
item_317147,cleaning_utilities,class_3014,0
item_317285,grocery_items_2,class_1236,0
item_318787,grocery_items,class_1040,0
item_318847,cleaning_utilities,class_3026,0
item_318932,deli_items,class_2644,1
item_318935,deli_items,class_2652,1
item_319093,deli_items,class_2630,1
item_319094,deli_items,class_2632,1
item_319095,deli_items,class_2640,1
item_319272,beverages,class_1122,0
item_320681,grocery_items,class_1080,0
item_320682,grocery_items,class_1080,0
item_321798,cleaning_utilities,class_3010,0
item_322094,cleaning_utilities,class_3020,0
item_322095,cleaning_utilities,class_3020,0
item_323013,grocery_items,class_1058,0
item_323217,grocery_items,class_1030,0
item_323227,grocery_items,class_1030,0
item_323921,personal_care,class_4114,0
item_324206,cleaning_utilities,class_3022,0
item_326951,grocery_items,class_1016,0
item_329070,grocery_items,class_1032,0
item_329071,grocery_items,class_1032,0
item_329361,grocery_items,class_1032,0
item_329362,grocery_items,class_1032,0
item_329364,grocery_items,class_1032,0
item_329365,grocery_items,class_1032,0
item_329397,dairy_items,class_2112,1
item_346065,grocery_items,class_1039,0
item_346066,grocery_items,class_1039,0
item_346406,grocery_items,class_1039,0
item_352513,cleaning_utilities,class_3012,0
item_354918,grocery_items,class_1034,0
item_354919,grocery_items,class_1034,0
item_354922,grocery_items,class_1034,0
item_354964,grocery_items,class_1030,0
item_354971,grocery_items,class_1044,0
item_355090,grocery_items,class_1024,0
item_355091,grocery_items,class_1038,0
item_357961,eggs,class_2502,1
item_357962,eggs,class_2502,1
item_357963,eggs,class_2502,1
item_357996,deli_items,class_2632,1
item_358096,grocery_items,class_1002,0
item_358100,grocery_items,class_1010,0
item_358134,dairy_items,class_2124,1
item_358231,cleaning_utilities,class_3038,0
item_358232,cleaning_utilities,class_3038,0
item_358264,grocery_items,class_1078,0
item_358272,dairy_items,class_2112,1
item_358515,grocery_items,class_1024,0
item_358519,grocery_items,class_1084,0
item_358561,cleaning_utilities,class_3004,0
item_358564,cleaning_utilities,class_3004,0
item_359913,baked_items / bread_based,class_2716,1
item_360313,baked_items / bread_based,class_2702,1
item_360314,baked_items / bread_based,class_2702,1
item_360703,grocery_items,class_1072,0
item_360704,grocery_items,class_1072,0
item_360705,grocery_items,class_1072,0
item_361502,grocery_items,class_1036,0
item_362035,grocery_items,class_1044,0
item_362548,grocery_items,class_1042,0
item_363049,personal_care,class_4114,0
item_363868,grocery_items,class_1016,0
item_363889,grocery_items,class_1058,0
item_363895,cleaning_utilities,class_3020,0
item_364413,cleaning_utilities,class_3032,0
item_364606,grocery_items,class_1014,0
item_364724,grocery_items,class_1084,0
item_364738,beverages,class_1124,0
item_364829,grocery_items,class_1040,0
item_364832,grocery_items,class_1040,0
item_364834,grocery_items,class_1040,0
item_364865,grocery_items_2,class_1236,0
item_365138,grocery_items,class_1072,0
item_365139,grocery_items,class_1072,0
item_365140,grocery_items,class_1072,0
item_365264,cleaning_utilities,class_3090,0
item_368136,grocery_items,class_1040,0
item_368139,grocery_items,class_1040,0
item_368140,grocery_items,class_1040,0
item_368213,dairy_items,class_2124,1
item_368260,grocery_items,class_1028,0
item_368270,grocery_items,class_1076,0
item_368419,deli_items,class_2644,1
item_368424,grocery_items,class_1078,0
item_368624,beverages,class_1122,0
item_368628,beverages,class_1122,0
item_369432,grocery_items,class_1036,0
item_370042,grocery_items,class_1080,0
