date,location_identifier,transactions
2015-01-01,location_25,770
2015-01-02,location_1,2111
2015-01-02,location_2,2358
2015-01-02,location_3,3487
2015-01-02,location_4,1922
2015-01-02,location_5,1903
2015-01-02,location_6,2143
2015-01-02,location_7,1874
2015-01-02,location_8,3250
2015-01-02,location_9,2940
2015-01-02,location_10,1293
2015-01-02,location_11,3547
2015-01-02,location_12,1362
2015-01-02,location_13,1102
2015-01-02,location_14,2002
2015-01-02,location_15,1622
2015-01-02,location_16,1167
2015-01-02,location_17,1580
2015-01-02,location_18,1635
2015-01-02,location_19,1369
2015-01-02,location_23,1381
2015-01-02,location_24,2605
2015-01-02,location_25,1038
2015-01-02,location_26,1008
2015-01-02,location_27,1386
2015-01-02,location_28,950
2015-01-02,location_30,708
2015-01-02,location_31,1401
2015-01-02,location_32,776
2015-01-02,location_33,1163
2015-01-02,location_34,2724
2015-01-02,location_35,786
2015-01-02,location_37,1691
2015-01-02,location_38,1987
2015-01-02,location_39,1587
2015-01-02,location_40,1178
2015-01-02,location_41,915
2015-01-02,location_43,1385
2015-01-02,location_44,4821
2015-01-02,location_45,4208
2015-01-02,location_46,4886
2015-01-02,location_47,4161
2015-01-02,location_48,3397
2015-01-02,location_49,2346
2015-01-02,location_50,3077
2015-01-02,location_51,1985
2015-01-02,location_54,998
2015-01-03,location_1,1833
2015-01-03,location_2,2033
2015-01-03,location_3,3026
2015-01-03,location_4,1551
2015-01-03,location_5,1740
2015-01-03,location_6,1795
2015-01-03,location_7,1568
2015-01-03,location_8,2904
2015-01-03,location_9,2396
2015-01-03,location_10,1157
2015-01-03,location_11,2675
2015-01-03,location_12,1248
2015-01-03,location_13,916
2015-01-03,location_14,1823
2015-01-03,location_15,1512
2015-01-03,location_16,1101
2015-01-03,location_17,1339
2015-01-03,location_18,1484
2015-01-03,location_19,1098
2015-01-03,location_23,1181
2015-01-03,location_24,2462
2015-01-03,location_25,887
2015-01-03,location_26,813
2015-01-03,location_27,928
2015-01-03,location_28,749
2015-01-03,location_30,689
2015-01-03,location_31,1126
2015-01-03,location_32,727
2015-01-03,location_33,1168
2015-01-03,location_34,2348
2015-01-03,location_35,725
2015-01-03,location_37,1526
2015-01-03,location_38,1746
2015-01-03,location_39,1426
2015-01-03,location_40,1171
2015-01-03,location_41,809
2015-01-03,location_43,1334
2015-01-03,location_44,3618
2015-01-03,location_45,3314
2015-01-03,location_46,3438
2015-01-03,location_47,3660
2015-01-03,location_48,2887
2015-01-03,location_49,1702
2015-01-03,location_50,2307
2015-01-03,location_51,1644
2015-01-03,location_54,920
2015-01-04,location_1,1863
2015-01-04,location_2,2066
2015-01-04,location_3,3188
2015-01-04,location_4,1596
2015-01-04,location_5,1642
2015-01-04,location_6,1679
2015-01-04,location_7,1513
2015-01-04,location_8,2962
2015-01-04,location_9,1975
2015-01-04,location_10,970
2015-01-04,location_11,2515
2015-01-04,location_12,1064
2015-01-04,location_13,879
2015-01-04,location_14,1641
2015-01-04,location_15,1318
2015-01-04,location_16,977
2015-01-04,location_17,1139
2015-01-04,location_18,1238
2015-01-04,location_19,1003
2015-01-04,location_23,1257
2015-01-04,location_24,2607
2015-01-04,location_25,1054
2015-01-04,location_26,813
2015-01-04,location_27,1034
2015-01-04,location_28,651
2015-01-04,location_30,689
2015-01-04,location_31,1246
2015-01-04,location_32,680
2015-01-04,location_33,948
2015-01-04,location_34,2369
2015-01-04,location_35,630
2015-01-04,location_37,1701
2015-01-04,location_38,1723
2015-01-04,location_39,1285
2015-01-04,location_40,1044
2015-01-04,location_41,835
2015-01-04,location_43,1358
2015-01-04,location_44,4169
2015-01-04,location_45,3630
2015-01-04,location_46,3434
2015-01-04,location_47,3915
2015-01-04,location_48,2900
2015-01-04,location_49,2016
2015-01-04,location_50,2698
2015-01-04,location_51,1786
2015-01-04,location_54,794
2015-01-05,location_1,1509
2015-01-05,location_2,2062
2015-01-05,location_3,3623
2015-01-05,location_4,1825
2015-01-05,location_5,1643
2015-01-05,location_6,2154
2015-01-05,location_7,1599
2015-01-05,location_8,3060
2015-01-05,location_9,2604
2015-01-05,location_10,1269
2015-01-05,location_11,3052
2015-01-05,location_12,1293
2015-01-05,location_13,1336
2015-01-05,location_14,2052
2015-01-05,location_15,1543
2015-01-05,location_16,1109
2015-01-05,location_17,1433
2015-01-05,location_18,1323
2015-01-05,location_19,1713
2015-01-05,location_23,1250
2015-01-05,location_24,2578
2015-01-05,location_25,1355
2015-01-05,location_26,1081
2015-01-05,location_27,1327
2015-01-05,location_28,1033
2015-01-05,location_30,749
2015-01-05,location_31,1317
2015-01-05,location_32,890
2015-01-05,location_33,1217
2015-01-05,location_34,2599
2015-01-05,location_35,723
2015-01-05,location_37,1770
2015-01-05,location_38,2214
2015-01-05,location_39,1851
2015-01-05,location_40,1118
2015-01-05,location_41,1021
2015-01-05,location_43,1205
2015-01-05,location_44,4921
2015-01-05,location_45,4331
2015-01-05,location_46,4935
2015-01-05,location_47,4764
2015-01-05,location_48,4084
2015-01-05,location_49,2562
2015-01-05,location_50,3459
2015-01-05,location_51,2068
2015-01-05,location_54,949
2015-01-06,location_1,520
2015-01-06,location_2,1992
2015-01-06,location_3,3590
2015-01-06,location_4,1891
2015-01-06,location_5,1754
2015-01-06,location_6,2313
2015-01-06,location_7,1431
2015-01-06,location_8,2748
2015-01-06,location_9,2635
2015-01-06,location_10,1173
2015-01-06,location_11,3188
2015-01-06,location_12,1271
2015-01-06,location_13,1008
2015-01-06,location_14,1313
2015-01-06,location_15,1149
2015-01-06,location_16,1323
2015-01-06,location_17,1383
2015-01-06,location_18,1405
2015-01-06,location_19,1157
2015-01-06,location_23,1100
2015-01-06,location_24,2061
2015-01-06,location_25,716
2015-01-06,location_26,1075
2015-01-06,location_27,1614
2015-01-06,location_28,1207
2015-01-06,location_30,667
2015-01-06,location_31,1468
2015-01-06,location_32,772
2015-01-06,location_33,1302
2015-01-06,location_34,2377
2015-01-06,location_35,651
2015-01-06,location_37,1282
2015-01-06,location_38,2522
2015-01-06,location_39,1571
2015-01-06,location_40,1023
2015-01-06,location_41,1142
2015-01-06,location_43,1194
2015-01-06,location_44,4925
